Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
1,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
2,0,,,Yes,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
3,0,,,I don't know,Maybe,,Maybe,Yes,Maybe,Maybe
4,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,"Yes, I think it would",Maybe
5,0,,,No,Yes,,Maybe,No,"Yes, I think it would",Maybe
6,0,,,Yes,Yes,,Maybe,Maybe,"Yes, I think it would",Maybe
7,0,,,I don't know,No,,Maybe,Yes,"Yes, I think it would","No, I don't think they would"
8,0,,,Yes,No,,Maybe,No,Maybe,Maybe
9,0,,,I don't know,Yes,,Yes,Maybe,Maybe,"Yes, they do"
10,1,"No, because it doesn't matter",,,,Maybe,,Maybe,Maybe,"No, I don't think they would"
11,0,,,Yes,No,,Maybe,Yes,"No, I don't think it would",Maybe
12,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
13,0,,,Yes,No,,Yes,No,"No, it has not","No, they do not"
14,0,,,Yes,No,,No,No,Maybe,"Yes, I think they would"
15,0,,,Yes,No,,Yes,No,"No, it has not","No, they do not"
16,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
17,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has","No, I don't think they would"
18,0,,,I don't know,Maybe,,Yes,No,Maybe,Maybe
19,1,"No, because it would impact me negatively",Yes,,,No,,No,"Yes, it has","Yes, they do"
20,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
21,0,,,I don't know,No,,Maybe,No,"Yes, I think it would","Yes, I think they would"
22,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
23,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
24,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
25,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
26,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
27,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
28,0,,,I don't know,No,,No,No,"Yes, I think it would","Yes, I think they would"
29,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","No, I don't think they would"
30,0,,,Yes,No,,Yes,No,"Yes, I think it would","Yes, I think they would"
31,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
32,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, they do not"
33,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
34,1,"No, because it doesn't matter",No,,,Maybe,,Maybe,Maybe,Maybe
35,0,,,Yes,No,,Maybe,Yes,"No, I don't think it would","No, I don't think they would"
36,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
37,0,,,Yes,No,,Yes,Yes,Maybe,Maybe
38,0,,,I don't know,No,,Yes,Maybe,Maybe,"Yes, I think they would"
39,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
40,0,,,I don't know,Maybe,,Yes,Yes,Maybe,Maybe
41,1,"No, because it doesn't matter",Yes,,,Maybe,,No,"Yes, I think it would","No, I don't think they would"
42,0,,,Yes,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
43,0,,,Yes,Yes,,Yes,No,Maybe,Maybe
44,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,"Yes, I think it would","No, I don't think they would"
45,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
46,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
47,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,"No, I don't think it would",Maybe
48,0,,,I don't know,Maybe,,No,Maybe,Maybe,Maybe
49,1,"No, because it doesn't matter",,,,Not applicable to me,,Yes,"No, I don't think it would",Maybe
50,0,,,Yes,No,,Yes,No,Maybe,Maybe
51,0,,,I don't know,Maybe,,No,No,"Yes, it has",Maybe
52,0,,,Yes,Maybe,,Yes,Yes,Maybe,Maybe
53,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"No, I don't think they would"
54,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
55,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
56,0,,,I don't know,Maybe,,Yes,No,Maybe,"No, I don't think they would"
57,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
58,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
59,0,,,I don't know,No,,No,No,"No, I don't think it would",Maybe
60,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
61,0,,,I don't know,No,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
62,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
63,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
64,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
65,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
66,1,Not applicable to me,,,,Not applicable to me,,No,"No, I don't think it would","No, I don't think they would"
67,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
68,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
69,0,,,Yes,Maybe,,No,No,"Yes, I think it would",Maybe
70,0,,,Yes,No,,No,No,Maybe,"Yes, I think they would"
71,1,Not applicable to me,,,,Maybe,,Maybe,Maybe,"No, I don't think they would"
72,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
73,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
74,0,,,I don't know,No,,Yes,Yes,Maybe,"No, I don't think they would"
75,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
76,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
77,1,"No, because it would impact me negatively",Yes,,,No,,No,"No, I don't think it would","Yes, I think they would"
78,0,,,No,No,,Yes,Maybe,Maybe,"No, I don't think they would"
79,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
80,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
81,0,,,Yes,No,,Maybe,No,Maybe,Maybe
82,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
83,1,"No, because it would impact me negatively",,,,Maybe,,No,Maybe,Maybe
84,0,,,Yes,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
85,1,"Sometimes, if it comes up",No,,,Maybe,,No,Maybe,Maybe
86,0,,,I don't know,Maybe,,No,Yes,Maybe,Maybe
87,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
88,0,,,I don't know,Maybe,,No,Maybe,"Yes, it has","Yes, they do"
89,1,"Sometimes, if it comes up",No,,,Yes,,Maybe,"No, I don't think it would","No, they do not"
90,0,,,Yes,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
91,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
92,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
93,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
94,0,,,I don't know,Yes,,No,Yes,Maybe,"Yes, I think they would"
95,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
96,0,,,I don't know,No,,Maybe,No,"No, I don't think it would",Maybe
97,0,,,I don't know,No,,Maybe,No,"Yes, I think it would","Yes, I think they would"
98,0,,,Yes,No,,No,Maybe,Maybe,"No, I don't think they would"
99,1,"No, because it doesn't matter",I'm not sure,,,"No, because it doesn't matter",,Maybe,"Yes, I think it would",Maybe
100,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
101,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
102,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would",Maybe
103,0,,,I don't know,No,,Yes,Yes,Maybe,Maybe
104,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
105,0,,,I don't know,Yes,,Maybe,No,Maybe,Maybe
106,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
107,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
108,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
109,0,,,Yes,No,,No,No,"Yes, I think it would","No, I don't think they would"
110,1,"Sometimes, if it comes up",No,,,Maybe,,Yes,"No, I don't think it would","No, I don't think they would"
111,0,,,I don't know,No,,Yes,Yes,Maybe,Maybe
112,0,,,Yes,No,,Yes,No,Maybe,"No, I don't think they would"
113,0,,,I don't know,Yes,,No,No,"Yes, I think it would",Maybe
114,1,"No, because it doesn't matter",I'm not sure,,,Maybe,,Maybe,"Yes, it has","Yes, I think they would"
115,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,Yes,"Yes, I think it would","Yes, I think they would"
116,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
117,0,,,I don't know,No,,Maybe,Maybe,"No, it has not",Maybe
118,0,,,Yes,No,,Yes,No,Maybe,"No, I don't think they would"
119,0,,,I don't know,No,,Maybe,No,"Yes, I think it would",Maybe
120,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
121,0,,,I don't know,No,,Yes,Yes,Maybe,"No, I don't think they would"
122,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
123,1,"No, because it would impact me negatively",,,,No,,No,Maybe,Maybe
124,0,,,I don't know,Yes,,No,No,"Yes, I think it would","No, I don't think they would"
125,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
126,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
127,0,,,I don't know,Yes,,Yes,No,Maybe,Maybe
128,1,Not applicable to me,,,,Not applicable to me,,Yes,Maybe,Maybe
129,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,"No, I don't think they would"
130,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
131,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
132,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
133,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would",Maybe
134,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
135,0,,,I don't know,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
136,0,,,Yes,Maybe,,No,Maybe,"Yes, I think it would",Maybe
137,0,,,I don't know,No,,No,No,Maybe,Maybe
138,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
139,0,,,I don't know,Yes,,No,No,Maybe,Maybe
140,0,,,Yes,No,,Yes,Maybe,Maybe,"No, I don't think they would"
141,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
142,0,,,I don't know,Yes,,No,No,"Yes, I think it would",Maybe
143,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
144,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
145,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
146,1,"No, because it doesn't matter",,,,"No, because it doesn't matter",,No,"Yes, I think it would","Yes, I think they would"
147,0,,,I don't know,Yes,,Maybe,No,"Yes, it has","No, I don't think they would"
148,0,,,No,No,,Yes,No,"Yes, I think it would",Maybe
149,0,,,I don't know,No,,Yes,Maybe,"No, I don't think it would",Maybe
150,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
151,0,,,Yes,No,,Maybe,Yes,"No, I don't think it would","No, I don't think they would"
152,1,"Sometimes, if it comes up",No,,,Maybe,,Maybe,"Yes, it has",Maybe
153,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
154,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
155,1,"Sometimes, if it comes up",I'm not sure,,,Not applicable to me,,No,Maybe,Maybe
156,0,,,I don't know,No,,Yes,Maybe,"Yes, I think it would","No, I don't think they would"
157,0,,,I don't know,Maybe,,Yes,Maybe,"Yes, I think it would","No, I don't think they would"
158,0,,,Yes,Yes,,Maybe,No,"Yes, it has","No, I don't think they would"
159,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
160,0,,,Yes,Maybe,,No,No,"Yes, I think it would",Maybe
161,0,,,Yes,No,,Maybe,No,"Yes, I think it would",Maybe
162,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
163,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
164,0,,,Yes,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
165,0,,,Yes,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
166,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would",Maybe
167,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
168,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
169,1,Not applicable to me,No,,,Not applicable to me,,Yes,Maybe,"No, I don't think they would"
170,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
171,0,,,No,Maybe,,Yes,No,"Yes, I think it would","Yes, I think they would"
172,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
173,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
174,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
175,0,,,No,Maybe,,Yes,No,"Yes, it has",Maybe
176,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
177,0,,,Yes,Maybe,,No,Maybe,"Yes, I think it would",Maybe
178,0,,,I don't know,No,,Maybe,No,Maybe,"Yes, I think they would"
179,0,,,Yes,No,,Yes,Yes,Maybe,Maybe
180,0,,,I don't know,No,,Yes,Maybe,"No, it has not","No, they do not"
181,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
182,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would","No, I don't think they would"
183,0,,,I don't know,No,,Yes,No,"Yes, I think it would","No, I don't think they would"
184,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
185,0,,,Yes,Maybe,,Maybe,Maybe,"Yes, I think it would",Maybe
186,0,,,No,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
187,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would","No, they do not"
188,0,,,Yes,No,,Yes,No,Maybe,Maybe
189,0,,,I don't know,No,,Yes,Maybe,"No, I don't think it would",Maybe
190,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
191,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
192,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,"Yes, I think they would"
193,0,,,I don't know,No,,No,No,Maybe,"No, I don't think they would"
194,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
195,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
196,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would",Maybe
197,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, they do not"
198,1,"Sometimes, if it comes up",Yes,,,Maybe,,Maybe,Maybe,"No, I don't think they would"
199,0,,,Yes,Maybe,,Yes,No,Maybe,Maybe
200,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
201,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
202,0,,,Yes,No,,Yes,Yes,"No, I don't think it would","No, I don't think they would"
203,0,,,Yes,No,,Yes,No,"Yes, I think it would","Yes, I think they would"
204,0,,,I don't know,No,,Yes,Yes,Maybe,"No, they do not"
205,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
206,0,,,No,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
207,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would","Yes, I think they would"
208,0,,,I don't know,Maybe,,No,No,"No, I don't think it would","No, I don't think they would"
209,0,,,I don't know,Yes,,No,Maybe,Maybe,"Yes, I think they would"
210,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
211,0,,,I don't know,No,,Maybe,No,"Yes, I think it would",Maybe
212,0,,,Yes,No,,Maybe,Maybe,"No, I don't think it would","No, I don't think they would"
213,0,,,I don't know,Maybe,,Yes,No,"Yes, it has","No, they do not"
214,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","No, I don't think they would"
215,0,,,I don't know,Maybe,,No,Maybe,"Yes, it has","No, I don't think they would"
216,0,,,I don't know,Maybe,,No,Maybe,Maybe,"No, I don't think they would"
217,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
218,0,,,I don't know,No,,Maybe,Maybe,Maybe,Maybe
219,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
220,0,,,No,Yes,,No,No,"Yes, it has","No, I don't think they would"
221,0,,,Yes,No,,Yes,Yes,"No, it has not","No, they do not"
222,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
223,0,,,I don't know,No,,Maybe,Maybe,"No, I don't think it would",Maybe
224,0,,,Yes,Maybe,,Yes,No,"Yes, it has","No, I don't think they would"
225,0,,,Yes,No,,Yes,No,Maybe,Maybe
226,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
227,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
228,0,,,No,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
229,0,,,I don't know,Maybe,,Yes,Maybe,"Yes, I think it would","Yes, I think they would"
230,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
231,0,,,No,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
232,0,,,Yes,No,,Maybe,Yes,Maybe,Maybe
233,0,,,Yes,No,,No,Maybe,"No, I don't think it would","No, I don't think they would"
234,0,,,Yes,No,,Yes,Maybe,Maybe,"No, I don't think they would"
235,0,,,No,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
236,0,,,Yes,No,,Yes,Yes,Maybe,"No, I don't think they would"
237,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
238,0,,,I don't know,Maybe,,No,Yes,"Yes, I think it would","Yes, I think they would"
239,1,"No, because it doesn't matter",I'm not sure,,,Maybe,,No,Maybe,"Yes, I think they would"
240,0,,,I don't know,Maybe,,Maybe,Yes,Maybe,Maybe
241,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
242,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,"No, I don't think they would"
243,1,"No, because it doesn't matter",,,,No,,No,"Yes, I think it would","Yes, I think they would"
244,0,,,I don't know,No,,No,No,Maybe,Maybe
245,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
246,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
247,0,,,Yes,Yes,,Maybe,No,"Yes, it has","No, I don't think they would"
248,0,,,I don't know,No,,Maybe,No,"No, it has not",Maybe
249,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
250,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,Maybe
251,0,,,Yes,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
252,0,,,I don't know,Maybe,,No,No,"Yes, it has","Yes, they do"
253,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
254,0,,,Yes,Maybe,,Maybe,No,"Yes, it has","Yes, they do"
255,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,No,Maybe,"No, I don't think they would"
256,0,,,No,No,,Yes,Maybe,"Yes, I think it would","No, I don't think they would"
257,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
258,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
259,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
260,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
261,0,,,Yes,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
262,0,,,Yes,No,,Maybe,No,"Yes, I think it would","Yes, I think they would"
263,0,,,Yes,Maybe,,Maybe,No,"Yes, I think it would",Maybe
264,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
265,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
266,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
267,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
268,0,,,Yes,No,,Yes,Maybe,Maybe,"No, I don't think they would"
269,0,,,I don't know,Yes,,No,No,"Yes, it has","No, I don't think they would"
270,0,,,Yes,Maybe,,Maybe,No,Maybe,Maybe
271,0,,,I don't know,No,,No,Maybe,Maybe,"No, I don't think they would"
272,0,,,Yes,No,,Yes,Yes,Maybe,"No, I don't think they would"
273,0,,,Yes,No,,Yes,Maybe,Maybe,"No, I don't think they would"
274,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
275,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
276,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
277,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
278,0,,,I don't know,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would"
279,1,"Sometimes, if it comes up",Yes,,,Maybe,,No,"Yes, it has","Yes, they do"
280,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
281,0,,,I don't know,No,,No,No,"Yes, I think it would",Maybe
282,0,,,I don't know,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
283,0,,,I don't know,Yes,,No,No,"Yes, it has","Yes, I think they would"
284,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
285,0,,,I don't know,Yes,,Maybe,No,Maybe,Maybe
286,0,,,I don't know,Yes,,No,No,Maybe,"Yes, I think they would"
287,0,,,I don't know,Maybe,,Maybe,No,"Yes, it has",Maybe
288,0,,,I don't know,No,,No,Yes,Maybe,Maybe
289,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
290,0,,,I don't know,No,,No,Maybe,Maybe,Maybe
291,0,,,No,Maybe,,No,Maybe,"Yes, I think it would",Maybe
292,0,,,I don't know,No,,Maybe,No,Maybe,"No, I don't think they would"
293,0,,,I don't know,No,,Yes,No,Maybe,Maybe
294,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
295,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
296,0,,,I don't know,No,,Maybe,No,"No, I don't think it would","No, I don't think they would"
297,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","Yes, I think they would"
298,0,,,Yes,No,,Maybe,Maybe,Maybe,Maybe
299,0,,,I don't know,No,,Yes,Yes,Maybe,"No, I don't think they would"
300,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
301,0,,,No,No,,No,Maybe,Maybe,"No, I don't think they would"
302,0,,,Yes,No,,Yes,Maybe,"Yes, I think it would",Maybe
303,0,,,I don't know,Maybe,,Yes,Maybe,"No, I don't think it would","No, they do not"
304,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would","Yes, I think they would"
305,1,"No, because it would impact me negatively",,,,No,,No,"Yes, I think it would","No, I don't think they would"
306,0,,,Yes,Maybe,,Maybe,Maybe,Maybe,Maybe
307,0,,,I don't know,Maybe,,Maybe,Maybe,"Yes, I think it would","No, I don't think they would"
308,0,,,I don't know,No,,Maybe,No,"Yes, I think it would",Maybe
309,1,"No, because it would impact me negatively",I'm not sure,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
310,1,"Sometimes, if it comes up",I'm not sure,,,Maybe,,Maybe,"Yes, it has",Maybe
311,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
312,1,"No, because it doesn't matter",I'm not sure,,,Maybe,,Maybe,"Yes, it has",Maybe
313,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
314,0,,,I don't know,Maybe,,Maybe,No,Maybe,"No, I don't think they would"
315,0,,,Yes,No,,Maybe,No,Maybe,Maybe
316,1,"No, because it would impact me negatively",Yes,,,Maybe,,No,"Yes, I think it would","Yes, I think they would"
317,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
318,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
319,0,,,Yes,No,,Maybe,No,Maybe,"No, I don't think they would"
320,0,,,I don't know,Maybe,,Yes,No,Maybe,Maybe
321,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
322,0,,,Yes,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
323,0,,,I don't know,Maybe,,Yes,No,"Yes, I think it would",Maybe
324,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, I don't think they would"
325,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
326,0,,,Yes,No,,Maybe,Maybe,"Yes, I think it would",Maybe
327,0,,,I don't know,No,,Maybe,No,Maybe,Maybe
328,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
329,0,,,I don't know,Yes,,No,Maybe,"Yes, I think it would","Yes, I think they would"
330,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would",Maybe
331,1,"Sometimes, if it comes up",No,,,Maybe,,Maybe,Maybe,"No, I don't think they would"
332,0,,,I don't know,No,,Yes,No,Maybe,Maybe
333,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
334,0,,,Yes,Maybe,,Yes,Maybe,Maybe,Maybe
335,0,,,I don't know,No,,Yes,Maybe,Maybe,Maybe
336,0,,,I don't know,No,,Maybe,Yes,"No, I don't think it would",Maybe
337,0,,,Yes,No,,Yes,Maybe,"No, it has not","No, they do not"
338,1,Not applicable to me,No,,,Not applicable to me,,Maybe,"No, I don't think it would",Maybe
339,0,,,I don't know,No,,Yes,Maybe,Maybe,"No, they do not"
340,0,,,I don't know,No,,Yes,Maybe,"No, it has not","No, I don't think they would"
341,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
342,0,,,I don't know,No,,Maybe,Yes,Maybe,Maybe
343,0,,,I don't know,No,,Yes,No,"No, I don't think it would","No, I don't think they would"
344,0,,,I don't know,No,,No,No,"No, I don't think it would","No, I don't think they would"
345,0,,,Yes,No,,Maybe,Yes,Maybe,"No, I don't think they would"
346,0,,,I don't know,Maybe,,No,No,"Yes, it has",Maybe
347,0,,,No,Maybe,,No,Maybe,"Yes, I think it would",Maybe
348,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
349,0,,,I don't know,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would"
350,0,,,I don't know,Maybe,,Yes,No,Maybe,"No, I don't think they would"
351,0,,,I don't know,Maybe,,Maybe,No,Maybe,"Yes, I think they would"
