Index,Are you self-employed?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Do you think that discussing a mental health disorder with your employer would have negative consequences?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?",Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?
1014,0,,,Yes,Maybe,,No,No,"Yes, I think it would",Maybe
1015,0,,,I don't know,Maybe,,No,No,"Yes, I think it would","Yes, I think they would"
1016,0,,,I don't know,No,,Yes,Maybe,Maybe,Maybe
1017,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"Yes, I think they would"
1018,0,,,I don't know,Maybe,,Yes,Yes,Maybe,Maybe
1019,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would",Maybe
1020,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
1021,0,,,I don't know,Yes,,No,Maybe,"Yes, it has","Yes, I think they would"
1022,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1023,0,,,Yes,No,,Yes,Maybe,"No, I don't think it would","No, I don't think they would"
1024,0,,,I don't know,No,,Maybe,Maybe,Maybe,"No, I don't think they would"
1025,0,,,I don't know,Maybe,,Maybe,No,Maybe,Maybe
1026,0,,,I don't know,Maybe,,No,No,Maybe,"Yes, they do"
1027,0,,,Yes,No,,Yes,No,"No, it has not","No, they do not"
1028,1,"No, because it doesn't matter",No,,,Maybe,,Maybe,Maybe,Maybe
1029,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,"No, I don't think they would"
1030,0,,,I don't know,No,,Maybe,No,"Yes, it has","No, I don't think they would"
1031,0,,,I don't know,Maybe,,No,Maybe,"Yes, I think it would","Yes, I think they would"
1032,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would",Maybe
1033,0,,,Yes,Yes,,Maybe,Maybe,"Yes, I think it would",Maybe
1034,1,Not applicable to me,,,,Not applicable to me,,No,Maybe,Maybe
1035,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1036,0,,,I don't know,Maybe,,Yes,No,Maybe,Maybe
1037,0,,,I don't know,Maybe,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1038,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1039,1,Not applicable to me,,,,Not applicable to me,,Maybe,Maybe,Maybe
1040,0,,,I don't know,Maybe,,Maybe,Maybe,Maybe,"No, I don't think they would"
1041,0,,,I don't know,Maybe,,No,No,Maybe,Maybe
1042,1,"No, because it would impact me negatively",,,,No,,Maybe,"Yes, I think it would",Maybe
1043,0,,,No,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
1044,0,,,No,Yes,,No,No,"Yes, it has",Maybe
1045,0,,,I don't know,Maybe,,Yes,Maybe,Maybe,Maybe
1046,0,,,I don't know,Maybe,,Yes,No,Maybe,Maybe
1047,0,,,I don't know,Yes,,Maybe,No,"Yes, I think it would","Yes, I think they would"
1048,1,Not applicable to me,,,,Not applicable to me,,No,"Yes, I think it would","Yes, I think they would"
1049,0,,,I don't know,Yes,,No,No,"Yes, I think it would","Yes, I think they would"
